Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
1,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,false,Zack,Kasumi,,Brad Wong,Nyotengu,
2,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,false,Leon,Eliot,,Helena Douglas,Pai Chan,
3,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Hayate,Ein,,Ayane,Tina Armstrong,
4,FallenGameR,Pobeditel,Street Fighter,Pobeditel,true,Birdie,,,Abigail,,
5,FallenGameR,Pobeditel,Street Fighter,Pobeditel,true,Ryu,,,Guile,,
6,FallenGameR,Pobeditel,Street Fighter,Pobeditel,true,Juri,,,Abigail,,
7,FallenGameR,Pobeditel,Street Fighter,FallenGameR,false,Birdie,,,Urien,,
8,FallenGameR,Pobeditel,Street Fighter,FallenGameR,true,Zeku,,,Urien,,
9,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Shun'ei,Mui Mui,Tung Fu Rue,Ramon,King,Joe Higashi
10,FallenGameR,Pobeditel,King of Fighters,Pobeditel,false,Kukri,Ryuji Yamazaki,Mai Shiranui,Athena Asamiya,Iori Yagami,Ryuji Yamazaki
11,FallenGameR,Pobeditel,King of Fighters,Pobeditel,false,Antonov,Billy Kane,Ralf Jones,Zarina,Chang Koehan,Clark Still
12,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Sie Kensou,Angel,Meitenkun,Chin Gentsai,Mai Shiranui,Zarina
13,FallenGameR,Pobeditel,King of Fighters,FallenGameR,false,Love Heart,Terry Bogard,Yuri Sakazaki,Hein,Rock Howard,Mature
14,FallenGameR,Pobeditel,King of Fighters,Pobeditel,false,Angel,Verse,Clark Still,Goro Daimon,Clark Still,Kukri
15,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Bandeiras Hatto,Andy Bogard,Tung Fu Rue,Mai Shiranui,Goro Daimon,Mui Mui
16,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Zarina,Andy Bogard,Bandeiras Hatto,King of Dino,Alice,Vanessa
