Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
1,Flegmatic,Gospodi,Killer Instinct,Gospodi,true,Orchid,,,Rash,,,
2,Pobeditel,FallenGameR,Killer Instinct,Pobeditel,true,Omen,,,Hisako,,,
3,Flegmatic,Pobeditel,Killer Instinct,Pobeditel,true,Shin Hisako,,,Maya,,,
4,Pobeditel,FallenGameR,Killer Instinct,FallenGameR,true,Hisako,,,Spinal,,,
5,Gospodi,Flegmatic,Killer Instinct,Gospodi,true,Tusk,,,Maya,,,
6,FallenGameR,Gospodi,Killer Instinct,FallenGameR,true,General RAAM,,,Thunder,,,
7,FallenGameR,Gospodi,Killer Instinct,FallenGameR,true,Glacius,,,Rash,,,
8,Gospodi,Pobeditel,Killer Instinct,Pobeditel,true,Kilgore,,,ARIA,,,
9,Flegmatic,FallenGameR,Killer Instinct,FallenGameR,true,Arbiter,,,Shin Hisako,,,
10,Gospodi,Pobeditel,Killer Instinct,Pobeditel,true,Glacius,,,Sabrewulf,,,
11,Pobeditel,Gospodi,Killer Instinct,Pobeditel,true,ARIA,,,Mira,,,
12,Flegmatic,Gospodi,Killer Instinct,Flegmatic,true,General RAAM,,,Omen,,,
13,FallenGameR,Flegmatic,Killer Instinct,FallenGameR,true,Cinder,,,Hisako,,,
14,Pobeditel,Flegmatic,Dead or Alive 5,Pobeditel,true,Kasumi,,,Lisa Hamilton,,,
15,FallenGameR,Flegmatic,Dead or Alive 5,FallenGameR,true,Rig,,,Bayman,,,
16,FallenGameR,Pobeditel,Dead or Alive 5,Pobeditel,true,Ayane,,,Hayate,,,
17,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Eliot,,,Lisa Hamilton,,,
18,Pobeditel,Flegmatic,Dead or Alive 5,Pobeditel,true,Ryu Hayabusa,,,Rachel,,,
19,Pobeditel,Gospodi,Dead or Alive 5,Gospodi,true,Rachel,,,Naotora Ii,,,
20,Flegmatic,FallenGameR,Dead or Alive 5,FallenGameR,true,Nyotengu,,,Honoka,,,
21,Flegmatic,Pobeditel,Dead or Alive 5,Pobeditel,true,Ein,,,Momiji,,,
22,Gospodi,FallenGameR,Dead or Alive 5,FallenGameR,true,Bass Armstrong,,,Raidou,,,
23,Gospodi,FallenGameR,Dead or Alive 5,Gospodi,true,Hayate,,,Sarah Bryant,,,
24,Gospodi,Flegmatic,Dead or Alive 5,Flegmatic,true,Mai Shiranui,,,Momiji,,,
25,Flegmatic,FallenGameR,Dead or Alive 5,FallenGameR,true,Bass Armstrong,,,Christie,,,
26,Gospodi,Flegmatic,Dead or Alive 5,Flegmatic,true,Bayman,,,Rachel,,,
27,FallenGameR,Gospodi,Dead or Alive 5,FallenGameR,true,Helena Douglas,,,Bass Armstrong,,,
28,FallenGameR,Gospodi,Dead or Alive 5,FallenGameR,true,Ayane,,,Gen Fu,,,
29,Pobeditel,FallenGameR,Dead or Alive 5,FallenGameR,true,Leifang,,,Raidou,,,
30,FallenGameR,Flegmatic,Dead or Alive 5,FallenGameR,true,Rachel,,,Brad Wong,,,
31,FallenGameR,Pobeditel,Dead or Alive 5,Pobeditel,true,Momiji,,,Pai Chan,,,
32,Gospodi,FallenGameR,Tekken 7,FallenGameR,true,Ling Xiaoyu,,,Josie Rizal,,,
1,Flegmatic,FallenGameR,Tekken 7,FallenGameR,true,Lee Chaolan,,,Eddy Gordo,,,
2,Gospodi,Flegmatic,Tekken 7,Flegmatic,true,Lars,,,Paul Phoenix,,,
3,Flegmatic,Pobeditel,Tekken 7,Pobeditel,true,Eddy Gordo,,,Feng Wei,,,
4,Flegmatic,Gospodi,Tekken 7,Gospodi,true,Yoshimitsu,,,Geese Howard,,,
5,Pobeditel,FallenGameR,Tekken 7,Pobeditel,true,Leo,,,Lars,,,
6,Pobeditel,FallenGameR,Tekken 7,FallenGameR,true,Bryan Fury,,,Gigas,,,
7,Gospodi,Pobeditel,Tekken 7,Pobeditel,true,Jin Kazama,,,Nina Williams,,,
8,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Lars,,,Lars,,,
9,Pobeditel,Gospodi,Tekken 7,Gospodi,true,Lars,,,Kuma,,,
10,FallenGameR,Gospodi,Tekken 7,FallenGameR,true,Sergei Dragunov,,,Bob,,,
11,Gospodi,Pobeditel,Tekken 7,Pobeditel,true,Shaheen,,,Devil Jin,,,
12,Gospodi,FallenGameR,Tekken 7,FallenGameR,true,Nina Williams,,,Josie Rizal,,,
13,Pobeditel,Gospodi,Tekken 7,Pobeditel,true,Katarina Alves,,,Nina Williams,,,
14,FallenGameR,Flegmatic,Tekken 7,Flegmatic,true,Asuka Kazama,,,Steve Fox,,,
15,Flegmatic,FallenGameR,Tekken 7,FallenGameR,true,Devil Jin,,,Shaheen,,,
16,Pobeditel,Flegmatic,Tekken 7,Flegmatic,true,Master Raven,,,Miguel,,,
17,Gospodi,FallenGameR,Tekken 7,FallenGameR,true,Lee Chaolan,,,Lucky Chloe,,,
18,Pobeditel,Flegmatic,Tekken 7,Flegmatic,true,Noctis Lucis,,,Marshall Law,,,
19,Flegmatic,Pobeditel,Tekken 7,Pobeditel,true,Jack-7,,,Gigas,,,
