Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
1,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Sophitia,,,Geralt,,,
2,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Azwel,,,Creation,,,
3,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Raphael,,,Groh,,,
4,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Yoshimitsu,,,Geralt,,,
5,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Maxi,,,Nightmare,,,
6,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,false,Tira,,,Yoshimitsu,,,
7,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Kilik,,,Creation,,,
8,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Astaroth,,,Siegfried,,,
9,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Raphael,,,Seong Mi-Na,,,
10,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Mitsurugi,,,Kilik,,,
11,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Raphael,,,Maxi,,,
12,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Groh,,,Seong Mi-Na,,,
13,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Astaroth,,,Ivy,,,
14,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Cervantes,,,Tira,,,
15,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,false,Talim,,,Tira,,,
16,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,false,Sophitia,,,Groh,,,
17,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Raphael,,,Maxi,,,
18,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Kilik,,,Tira,,,
19,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Zasalamel,,,Raphael,,,
20,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Voldo,,,Siegfried,,,
21,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Seong Mi-Na,,,Raphael,,,
22,FallenGameR,Pobeditel,Soul Calibur 6,Pobeditel,true,Astaroth,,,Zasalamel,,,
