Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
1,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Eliza,,,Lee Chaolan,,
2,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Lee Chaolan,,,Panda,,
3,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Akuma,,,Claudio Serafino,,
4,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Master Raven,,,Heihachi Mishima,,
5,FallenGameR,Pobeditel,Tekken 7,Pobeditel,false,Feng Wei,,,Claudio Serafino,,
6,FallenGameR,Pobeditel,Tekken 7,FallenGameR,false,Paul Phoenix,,,Jin Kazama,,
7,FallenGameR,Pobeditel,Tekken 7,FallenGameR,false,Hwoarang,,,Bryan Fury,,
8,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Paul Phoenix,,,Miguel,,
9,FallenGameR,Pobeditel,Tekken 7,FallenGameR,true,Panda,,,Kuma,,
10,FallenGameR,Pobeditel,Tekken 7,FallenGameR,false,Leo,,,Lars,,
11,FallenGameR,Pobeditel,Tekken 7,FallenGameR,false,Gigas,,,Josie Rizal,,
12,FallenGameR,Pobeditel,Tekken 7,FallenGameR,false,Bob,,,Asuka Kazama,,
13,FallenGameR,Pobeditel,Tekken 7,FallenGameR,false,Leo,,,Leo,,
14,FallenGameR,Pobeditel,Tekken 7,Pobeditel,true,Hwoarang,,,King,,
15,FallenGameR,Pobeditel,Tekken 7,FallenGameR,false,Eddy Gordo,,,Master Raven,,
16,FallenGameR,Pobeditel,Tekken 7,FallenGameR,false,Leo,,,Leo,,
17,FallenGameR,Pobeditel,Guilty Gear Xrd,Pobeditel,true,Slayer,,,Raven,,
18,FallenGameR,Pobeditel,Guilty Gear Xrd,FallenGameR,false,Kum Haehyun,,,Sol Badguy,,
19,FallenGameR,Pobeditel,Guilty Gear Xrd,Pobeditel,false,Chipp Zanuff,,,Johnny,,
20,FallenGameR,Pobeditel,Guilty Gear Xrd,FallenGameR,false,Millia Rage,,,Raven,,
21,FallenGameR,Pobeditel,Guilty Gear Xrd,FallenGameR,false,Jack-O,,,Sol Badguy,,
22,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,false,Kasumi,Eliot,,Momiji,Bass Armstrong,
23,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Phase 4,Kokoro,,Nyotengu,Leon,
24,FallenGameR,Pobeditel,Dead or Alive 5,Pobeditel,true,Kasumi,Mai Shiranui,,Leon,Leifang,
25,FallenGameR,Pobeditel,Dead or Alive 5,FallenGameR,true,Leon,Momiji,,Naotora Ii,Christie,
26,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Andy Bogard,,,Vanessa,,
27,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Vice,,,Kim Kaphwan,,
28,FallenGameR,Pobeditel,King of Fighters,FallenGameR,true,Luong,,,Joe Higashi,,
29,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Love Heart,,,Mai Shiranui,,
30,FallenGameR,Pobeditel,King of Fighters,FallenGameR,false,Tung Fu Rue,,,Vanessa,,
31,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Ramon,,,Clark Still,,
32,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Rock Howard,,,Ramon,,
33,FallenGameR,Pobeditel,King of Fighters,FallenGameR,true,Clark Still,,,Kula Diamond,,
34,FallenGameR,Pobeditel,King of Fighters,FallenGameR,true,Alice,,,Kukri,,
35,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Kula Diamond,,,Billy Kane,,
36,FallenGameR,Pobeditel,King of Fighters,FallenGameR,false,Iori Yagami,,,Mui Mui,,

