Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
1,Flegmatic,FallenGameR,Guilty Gear Xrd,FallenGameR,true,Bedman,,,Sol Badguy,,,
2,FallenGameR,Pobeditel,Guilty Gear Xrd,FallenGameR,false,Baiken,,,Answer,,,
3,Pobeditel,Flegmatic,Guilty Gear Xrd,Flegmatic,true,Dizzy,,,Ky Kiske,,,
4,Flegmatic,Pobeditel,Guilty Gear Xrd,Flegmatic,true,Johnny,,,Johnny,,,
5,Pobeditel,FallenGameR,Guilty Gear Xrd,Pobeditel,true,Faust,,,Slayer,,,
6,FallenGameR,Flegmatic,Guilty Gear Xrd,FallenGameR,true,Faust,,,Answer,,,
7,Flegmatic,Pobeditel,Guilty Gear Xrd,Pobeditel,true,I-No,,,May,,,
8,FallenGameR,Flegmatic,Guilty Gear Xrd,FallenGameR,true,Baiken,,,Answer,,,
1,Flegmatic,FallenGameR,Guilty Gear Xrd,FallenGameR,true,I-No,,,Dizzy,,,
2,Pobeditel,Flegmatic,Guilty Gear Xrd,Flegmatic,true,I-No,,,Sol Badguy,,,
3,Flegmatic,Pobeditel,Guilty Gear Xrd,Pobeditel,true,Venom,,,Axl Low,,,
4,Pobeditel,FallenGameR,Guilty Gear Xrd,Pobeditel,true,Sin Kiske,,,May,,,
5,FallenGameR,Flegmatic,Guilty Gear Xrd,FallenGameR,true,Sol Badguy,,,Answer,,,
6,FallenGameR,Pobeditel,Guilty Gear Xrd,Pobeditel,true,Jam Kuradoberi,,,Bedman,,,
7,Flegmatic,Pobeditel,Guilty Gear Xrd,Pobeditel,true,Chipp Zanuff,,,Zato=1,,,
8,FallenGameR,Pobeditel,Guilty Gear Xrd,FallenGameR,true,Slayer,,,Slayer,,,
9,FallenGameR,Flegmatic,Guilty Gear Xrd,Flegmatic,true,Chipp Zanuff,,,Bedman,,,
