Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
1,FallenGameR,Vera,Soul Calibur 6,Vera,true,Astaroth,,,Tira,,,
2,Vera,Pobeditel,Soul Calibur 6,Pobeditel,true,Creation,,,Geralt,,,
3,Vera,FallenGameR,Soul Calibur 6,FallenGameR,true,Sophitia,,,Geralt,,,
4,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,false,Maxi,,,Taki,,,
5,Pobeditel,Vera,Soul Calibur 6,Vera,true,Creation,,,Talim,,,
6,Pobeditel,FallenGameR,Soul Calibur 6,FallenGameR,true,Maxi,,,Azwel,,,
7,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,false,Nightmare,,,Tira,,,
8,Vera,FallenGameR,Soul Calibur 6,FallenGameR,true,Tira,,,Zasalamel,,,
9,FallenGameR,Vera,Soul Calibur 6,FallenGameR,false,Maxi,,,Raphael,,,
1,FallenGameR,Vera,Soul Calibur 6,Vera,true,Astaroth,,,Tira,,,
2,Vera,Pobeditel,Soul Calibur 6,Pobeditel,true,Creation,,,Geralt,,,
3,Vera,FallenGameR,Soul Calibur 6,FallenGameR,true,Sophitia,,,Geralt,,,
4,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,false,Maxi,,,Taki,,,
5,Pobeditel,Vera,Soul Calibur 6,Vera,true,Creation,,,Talim,,,
6,Pobeditel,FallenGameR,Soul Calibur 6,FallenGameR,true,Maxi,,,Azwel,,,
7,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,false,Nightmare,,,Tira,,,
8,Vera,FallenGameR,Soul Calibur 6,FallenGameR,true,Tira,,,Zasalamel,,,
9,FallenGameR,Vera,Soul Calibur 6,FallenGameR,false,Maxi,,,Raphael,,,
