Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
1,Pobeditel,Vera,Soul Calibur 6,Pobeditel,true,Geralt,,,Raphael,,,
2,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,false,Astaroth,,,Seong Mi-Na,,,
3,Vera,Pobeditel,Soul Calibur 6,Pobeditel,true,Zasalamel,,,Maxi,,,
4,Pobeditel,FallenGameR,Soul Calibur 6,FallenGameR,true,Yoshimitsu,,,Xianghua,,,
5,FallenGameR,Vera,Soul Calibur 6,Vera,true,Amy,,,Xianghua,,,
6,Vera,FallenGameR,Soul Calibur 6,FallenGameR,true,Voldo,,,Seong Mi-Na,,,
7,Pobeditel,FallenGameR,Soul Calibur 6,FallenGameR,true,Azwel,,,Taki,,,
8,Vera,FallenGameR,Soul Calibur 6,Vera,false,Inferno,,,Taki,,,
9,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,false,Raphael,,,Siegfried,,,
10,FallenGameR,Vera,Soul Calibur 6,Vera,true,Siegfried,,,2B,,,
11,Vera,Pobeditel,Soul Calibur 6,Pobeditel,true,Mitsurugi,,,Raphael,,,
12,Pobeditel,Vera,Soul Calibur 6,Pobeditel,true,Groh,,,Ivy,,,
13,Vera,Pobeditel,Soul Calibur 6,Pobeditel,false,Geralt,,,Taki,,,
14,FallenGameR,Pobeditel,Soul Calibur 6,FallenGameR,true,Mitsurugi,,,Siegfried,,,
15,Pobeditel,FallenGameR,Soul Calibur 6,FallenGameR,false,Tira,,,Maxi,,,
16,Pobeditel,Vera,Soul Calibur 6,Pobeditel,true,Voldo,,,Tira,,,
17,FallenGameR,Vera,Mortal Kombat 11,FallenGameR,true,Frost,,,Scorpion,,,
18,Vera,FallenGameR,Mortal Kombat 11,FallenGameR,false,Cetrion,,,Jax Briggs,,,
19,Pobeditel,Vera,Mortal Kombat 11,Pobeditel,true,Scorpion,,,Erron Black,,,
20,Pobeditel,FallenGameR,Mortal Kombat 11,Pobeditel,true,Geras,,,Shang Tsung,,,
21,Vera,Pobeditel,Tekken 7,Vera,true,Eddy Gordo,,,Lucky Chloe,,,
22,FallenGameR,Vera,Tekken 7,Vera,false,Akuma,,,Feng Wei,,,
23,Vera,FallenGameR,Tekken 7,FallenGameR,true,Jack-7,,,Gigas,,,
