Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
1,IvanThe3rd,FallenGameR,Street Fighter 6,FallenGameR,false,E. Honda,,,Dee Jay,,,
2,IvanThe3rd,FallenGameR,Street Fighter 6,FallenGameR,false,Juri,,,Jamie,,,
3,IvanThe3rd,FallenGameR,Street Fighter 6,FallenGameR,false,Manon,,,Dhalsim,,,
4,IvanThe3rd,FallenGameR,Street Fighter 6,IvanThe3rd,true,Marisa,,,Manon,,,
5,IvanThe3rd,FallenGameR,Street Fighter 6,FallenGameR,false,JP,,,E. Honda,,,
6,IvanThe3rd,FallenGameR,Street Fighter 6,IvanThe3rd,true,Blanka,,,Blanka,,,
7,IvanThe3rd,FallenGameR,Street Fighter 6,FallenGameR,true,Dhalsim,,,Lily,,,
8,IvanThe3rd,FallenGameR,Street Fighter 6,FallenGameR,true,Ryu,,,Marisa,,,
9,IvanThe3rd,FallenGameR,Street Fighter 6,FallenGameR,true,Cammy,,,Guile,,,
10,IvanThe3rd,FallenGameR,Street Fighter 6,IvanThe3rd,false,Dee Jay,,,Luke,,,
11,IvanThe3rd,FallenGameR,Street Fighter 6,FallenGameR,false,Lily,,,Cammy,,,
12,IvanThe3rd,FallenGameR,Street Fighter 6,FallenGameR,false,Jamie,,,JP,,,
13,IvanThe3rd,FallenGameR,Street Fighter 6,IvanThe3rd,false,Chun-Li,,,Juri,,,
1,IvanThe3rd,FallenGameR,Street Fighter 6,FallenGameR,false,E. Honda,,,Dee Jay,,,
2,IvanThe3rd,FallenGameR,Street Fighter 6,FallenGameR,false,Juri,,,Jamie,,,
3,IvanThe3rd,FallenGameR,Street Fighter 6,FallenGameR,false,Manon,,,Dhalsim,,,
4,IvanThe3rd,FallenGameR,Street Fighter 6,IvanThe3rd,true,Marisa,,,Manon,,,
5,IvanThe3rd,FallenGameR,Street Fighter 6,FallenGameR,false,JP,,,E. Honda,,,
6,IvanThe3rd,FallenGameR,Street Fighter 6,IvanThe3rd,true,Blanka,,,Blanka,,,
