Match,FirstPlayer,SecondPlayer,Game,Winner,Fair,FirstFighter,FirstFighter2,FirstFighter3,SecondFighter,SecondFighter2,SecondFighter3
1,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Iori Yagami,Vanessa,Nelson,Shun'ei,Nelson,Andy Bogard
2,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Kula Diamond,Mui Mui,Love Heart,Vice,Bandeiras Hatto,Iori Yagami
3,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Rock Howard,Tung Fu Rue,Clark Still,Xanadu,King,Meitenkun
4,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Ryo Sakazaki,Antonov,Sie Kensou,Chang Koehan,Andy Bogard,Vice
5,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Tung Fu Rue,Shun'ei,Kim Kaphwan,Ryo Sakazaki,Kukri,Choi Bounge
6,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Xanadu,Robert Garcia,Benimaru Nikai,Joe Higashi,Choi Bounge,Iori Yagami
7,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Leona Heidern,Clark Still,Hein,Chang Koehan,Nelson,Luong
8,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Maxima,Ramon,Tung Fu Rue,Billy Kane,Billy Kane,King
9,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Kula Diamond,Billy Kane,Joe Higashi,Iori Yagami,Bandeiras Hatto,King of Dino
10,FallenGameR,Pobeditel,King of Fighters,FallenGameR,true,Leona Heidern,King,Ramon,Leona Heidern,Robert Garcia,Mian
11,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Tung Fu Rue,Chang Koehan,Ryuji Yamazaki,Kukri,Shun'ei,Clark Still
12,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Geese Howard,Alice,Athena Asamiya,Choi Bounge,Mai Shiranui,Robert Garcia
13,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Yuri Sakazaki,Xanadu,Nelson,Gang-il,Kula Diamond,Mai Shiranui
14,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Terry Bogard,Ryo Sakazaki,Benimaru Nikai,Athena Asamiya,Whip,Billy Kane
15,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Kim Kaphwan,Iori Yagami,Xanadu,Chin Gentsai,Yuri Sakazaki,Kim Kaphwan
16,FallenGameR,Pobeditel,King of Fighters,Draw,true,Mui Mui,Kula Diamond,Yuri Sakazaki,Love Heart,Ryuji Yamazaki,Geese Howard
17,FallenGameR,Pobeditel,King of Fighters,FallenGameR,true,Sie Kensou,King of Dino,Bandeiras Hatto,Iori Yagami,Mui Mui,Meitenkun
18,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Mai Shiranui,Kukri,Mature,Ryuji Yamazaki,Robert Garcia,Choi Bounge
19,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Terry Bogard,Andy Bogard,Alice,Sylvie Paula,King of Dino,Whip
20,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Antonov,Alice,K',Ralf Jones,Maxima,Terry Bogard
21,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Luong,Angel,Alice,Rock Howard,Vanessa,Yuri Sakazaki
22,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Verse,Nakoruru,Alice,Ramon,Bandeiras Hatto,Athena Asamiya
23,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Antonov,Andy Bogard,Luong,Bandeiras Hatto,Meitenkun,Joe Higashi
24,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Vice,Andy Bogard,Ralf Jones,Zarina,Benimaru Nikai,Vanessa
25,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Nakoruru,Mui Mui,Benimaru Nikai,Sylvie Paula,Chin Gentsai,Nakoruru
26,FallenGameR,Pobeditel,King of Fighters,Pobeditel,true,Antonov,Athena Asamiya,Mai Shiranui,Leona Heidern,Benimaru Nikai,Joe Higashi
